required_age,dlc_count,windows,mac,linux,price_cleaned,languagesupp_count,is_major_developer,cat_Achievements,cat_Multiplayer,cat_Coop,cat_ControllerSupport,cat_Workshop,cat_InAppPurchases,cat_SteamCloud,cat_SinglePlayer,genre_Indie,genre_Racing,genre_Sports,genre_Simulation,genre_Casual,genre_RPG,genre_Action,genre_FreeToPlay,genre_MassivelyMultiplayer,genre_Adventure,genre_Strategy,AGE_GROUP,is_positive
0,0,1,0,0,39.99,12,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,14.99,13,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
0,1,1,1,0,29.99,27,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,7,1,0,0,19.99,13,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
0,0,1,1,1,24.99,21,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,13,1,0,0,29.99,17,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,1,1,0,0,14,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1
17,3,1,0,0,19.99,12,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
17,9,1,0,0,29.99,10,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
0,1,1,1,0,59.99,11,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
0,10,1,1,1,9.99,12,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,1,59.99,14,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1
0,1,1,0,0,19.99,8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
0,0,1,0,0,24.99,11,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
0,6,1,1,0,59.99,13,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1
0,0,1,1,0,29.24,9,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1
0,21,1,1,1,59.99,9,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
17,2,1,0,0,0,14,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0
17,0,1,0,0,0,13,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,1,1,0,0,4.99,14,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1
0,5,1,0,0,0,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
18,6,1,0,0,49.99,12,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1
0,0,1,0,0,59.99,16,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1
17,21,1,1,0,59.99,14,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1
17,2,1,0,0,9.99,14,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
0,0,1,0,0,59.99,23,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
0,5,1,0,0,29.99,11,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,39.99,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,2,1,0,0,29.99,13,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1
0,65,1,1,1,29.99,9,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
17,6,1,0,0,49.99,4,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,2,1
0,51,1,0,0,0,16,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1
17,5,1,1,1,0,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,1
0,4,1,0,0,24.99,4,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0
17,61,1,0,0,0,11,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,0,0,49.99,12,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1
17,2,1,0,0,29.99,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
17,1,1,0,0,0,9,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
0,3,1,0,0,29.99,11,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
0,1,1,0,0,19.99,18,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,12,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
0,8,1,1,1,19.99,24,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
17,13,1,0,0,29.99,13,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
17,1,1,1,1,39.99,6,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,3,1,1,1,39.99,30,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1
0,3,1,1,0,19.99,13,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1
0,93,1,0,0,49.99,18,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1,1,1,0,0,16,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1
0,3,1,1,0,39.99,12,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
17,7,1,0,0,0,13,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,1
17,5,1,0,0,34.99,15,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
17,3,1,0,0,0,15,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,2,1
17,21,1,1,0,39.99,13,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,1,1,1,1,0,17,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
